account,peer_account,amount,ts,txn_type,ref_id
ACC-V001,ACC-M001,9999.0,2026-01-09 14:51:00,DEBIT,REF-001
ACC-M001,ACC-V001,9999.0,2026-01-09 14:51:00,CREDIT,REF-001
ACC-V002,ACC-M001,9998.0,2026-01-09 09:37:00,DEBIT,REF-002
ACC-M001,ACC-V002,9998.0,2026-01-09 09:37:00,CREDIT,REF-002
ACC-V003,ACC-M002,9750.0,2026-01-09 11:52:00,DEBIT,REF-003
ACC-M002,ACC-V003,9750.0,2026-01-09 11:52:00,CREDIT,REF-003
ACC-V004,ACC-M002,9500.0,2026-01-10 10:22:00,DEBIT,REF-004
ACC-M002,ACC-V004,9500.0,2026-01-10 10:22:00,CREDIT,REF-004
ACC-V005,ACC-M003,9999.0,2026-01-10 15:25:00,DEBIT,REF-005
ACC-M003,ACC-V005,9999.0,2026-01-10 15:25:00,CREDIT,REF-005
ACC-M001,ACC-A001,18500.0,2026-01-09 23:00:00,DEBIT,REF-006
ACC-A001,ACC-M001,18500.0,2026-01-09 23:00:00,CREDIT,REF-006
ACC-M002,ACC-A001,18000.0,2026-01-10 18:00:00,DEBIT,REF-007
ACC-A001,ACC-M002,18000.0,2026-01-10 18:00:00,CREDIT,REF-007
ACC-M003,ACC-A001,9200.0,2026-01-11 10:00:00,DEBIT,REF-008
ACC-A001,ACC-M003,9200.0,2026-01-11 10:00:00,CREDIT,REF-008
ACC-B798,ACC-B110,504,2026-01-11 12:00:00,DEBIT,REF-B0
ACC-B110,ACC-B798,504,2026-01-11 12:00:00,CREDIT,REF-B0
ACC-B330,ACC-B584,1118,2026-01-09 12:00:00,DEBIT,REF-B1
ACC-B584,ACC-B330,1118,2026-01-09 12:00:00,CREDIT,REF-B1
ACC-B267,ACC-B938,4560,2026-01-02 15:00:00,DEBIT,REF-B2
ACC-B938,ACC-B267,4560,2026-01-02 15:00:00,CREDIT,REF-B2
ACC-B703,ACC-B686,1706,2026-01-10 10:00:00,DEBIT,REF-B3
ACC-B686,ACC-B703,1706,2026-01-10 10:00:00,CREDIT,REF-B3
ACC-B522,ACC-B342,4761,2026-01-01 17:00:00,DEBIT,REF-B4
ACC-B342,ACC-B522,4761,2026-01-01 17:00:00,CREDIT,REF-B4
ACC-B688,ACC-B347,2884,2026-01-04 16:00:00,DEBIT,REF-B5
ACC-B347,ACC-B688,2884,2026-01-04 16:00:00,CREDIT,REF-B5
ACC-B975,ACC-B261,4311,2026-01-11 09:00:00,DEBIT,REF-B6
ACC-B261,ACC-B975,4311,2026-01-11 09:00:00,CREDIT,REF-B6
ACC-B529,ACC-B650,262,2026-01-08 08:00:00,DEBIT,REF-B7
ACC-B650,ACC-B529,262,2026-01-08 08:00:00,CREDIT,REF-B7
ACC-B253,ACC-B881,3697,2026-01-10 20:00:00,DEBIT,REF-B8
ACC-B881,ACC-B253,3697,2026-01-10 20:00:00,CREDIT,REF-B8
ACC-B591,ACC-B820,1269,2026-01-04 13:00:00,DEBIT,REF-B9
ACC-B820,ACC-B591,1269,2026-01-04 13:00:00,CREDIT,REF-B9
ACC-B337,ACC-B251,4847,2026-01-08 15:00:00,DEBIT,REF-B10
