msisdn,peer_msisdn,imei,tower_id,ts_start,duration_sec,call_type
9999911111,8888811111,358123456789012,TW-CH-001,2026-01-09 14:23:00,120,CALL
9999911111,8888822222,358123456789012,TW-CH-001,2026-01-09 09:15:00,300,CALL
9999922222,8888833333,358123456789012,TW-CH-002,2026-01-09 11:30:00,180,CALL
9999933333,8888844444,358123456789012,TW-CH-003,2026-01-10 10:00:00,200,CALL
9999933333,8888855555,358123456789012,TW-CH-001,2026-01-10 15:00:00,150,CALL
9999911111,7777700000,358123456789012,TW-CH-001,2026-01-09 14:00:00,45,CALL
9999911111,7777700001,358123456789012,TW-CH-001,2026-01-09 14:02:00,45,CALL
9999911111,7777700002,358123456789012,TW-CH-001,2026-01-09 14:04:00,45,CALL
9999911111,7777700003,358123456789012,TW-CH-001,2026-01-09 14:06:00,45,CALL
9999911111,7777700004,358123456789012,TW-CH-001,2026-01-09 14:08:00,45,CALL
9999911111,7777700005,358123456789012,TW-CH-001,2026-01-09 14:10:00,45,CALL
9999911111,7777700006,358123456789012,TW-CH-001,2026-01-09 14:12:00,45,CALL
9999911111,7777700007,358123456789012,TW-CH-001,2026-01-09 14:14:00,45,CALL
9999911111,7777700008,358123456789012,TW-CH-001,2026-01-09 14:16:00,45,CALL
9999911111,7777700009,358123456789012,TW-CH-001,2026-01-09 14:18:00,45,CALL
9999911111,7777700010,358123456789012,TW-CH-001,2026-01-09 14:20:00,45,CALL
9999911111,7777700011,358123456789012,TW-CH-001,2026-01-09 14:22:00,45,CALL
9999911111,7777700012,358123456789012,TW-CH-001,2026-01-09 14:24:00,45,CALL
9999911111,7777700013,358123456789012,TW-CH-001,2026-01-09 14:26:00,45,CALL
9999911111,7777700014,358123456789012,TW-CH-001,2026-01-09 14:28:00,45,CALL
9999911111,7777700015,358123456789012,TW-CH-001,2026-01-09 14:30:00,45,CALL
9999911111,7777700016,358123456789012,TW-CH-001,2026-01-09 14:32:00,45,CALL
9999911111,7777700017,358123456789012,TW-CH-001,2026-01-09 14:34:00,45,CALL
666660464,666661829,35863523421578,TW-CH-006,2026-01-03 11:54:00,60,CALL
666660499,666661918,35853788786574,TW-CH-005,2026-01-06 11:36:00,188,CALL
666660780,666661499,35814768689699,TW-CH-004,2026-01-02 10:15:00,222,CALL
666660387,666661583,35820457443509,TW-CH-007,2026-01-08 19:00:00,151,CALL
666660978,666661772,35825913298222,TW-CH-007,2026-01-07 14:37:00,45,CALL
666660816,666661966,35870912705916,TW-CH-005,2026-01-10 13:14:00,245,CALL
666660196,666661176,35844847210129,TW-CH-008,2026-01-05 08:42:00,85,CALL
666660398,666661141,35842592788509,TW-CH-002,2026-01-06 14:25:00,238,CALL
666660937,666661870,35815348451746,TW-CH-004,2026-01-05 17:48:00,73,CALL
666660500,666661225,35827069576069,TW-CH-006,2026-01-06 09:26:00,130,CALL
666660422,666661351,35872454970549,TW-CH-003,2026-01-10 18:19:00,123,CALL
666660366,666661440,35814969544646,TW-CH-005,2026-01-04 15:37:00,223,CALL
666660533,666661783,35861098789588,TW-CH-005,2026-01-04 11:13:00,161,CALL
666660304,666661531,35857863077861,TW-CH-007,2026-01-05 10:46:00,196,CALL
666660193,666661498,35817499468775,TW-CH-004,2026-01-07 14:32:00,117,CALL
666660877,666661852,35873934787293,TW-CH-007,2026-01-05 13:31:00,184,CALL
666660251,666661878,35857872045743,TW-CH-007,2026-01-07 14:06:00,17,CALL
666660583,666661250,35871725532860,TW-CH-008,2026-01-11 20:06:00,178,CALL
666660339,666661678,35832130591705,TW-CH-007,2026-01-11 17:15:00,166,CALL
666660739,666661700,35893003569557,TW-CH-007,2026-01-01 12:47:00,181,CALL
666660945,666661633,35841083074569,TW-CH-004,2026-01-07 12:14:00,225,CALL
666660113,666661962,35896562423831,TW-CH-005,2026-01-06 15:08:00,121,CALL
666660573,666661310,35817224803114,TW-CH-006,2026-01-05 13:03:00,230,CALL
666660683,666661467,35859834246996,TW-CH-004,2026-01-10 15:31:00,18,CALL
666660637,666661592,35848055292820,TW-CH-006,2026-01-04 12:19:00,55,CALL
666660230,666661387,35821528427272,TW-CH-008,2026-01-08 10:14:00,28,CALL
666660405,666661824,35847399442602,TW-CH-007,2026-01-05 13:33:00,260,CALL
666660608,666661626,35879887713175,TW-CH-008,2026-01-10 08:18:00,242,CALL
666660914,666661307,35836448381032,TW-CH-005,2026-01-03 17:19:00,10,CALL
666660790,666661887,35841466566557,TW-CH-008,2026-01-07 19:51:00,201,CALL
666660541,666661984,35887933878159,TW-CH-005,2026-01-08 19:10:00,16,CALL
666660503,666661568,35829239114761,TW-CH-002,2026-01-11 09:45:00,127,CALL
666660203,666661239,35812431567408,TW-CH-001,2026-01-11 17:40:00,224,CALL
666660430,666661550,35875577224015,TW-CH-005,2026-01-09 16:22:00,228,CALL
666660788,666661201,35839011504652,TW-CH-001,2026-01-07 09:36:00,68,CALL
666660247,666661173,35891644970955,TW-CH-007,2026-01-10 12:01:00,89,CALL
666660887,666661576,35884641349421,TW-CH-008,2026-01-06 14:48:00,221,CALL
666660405,666661500,35868422606362,TW-CH-005,2026-01-10 18:12:00,295,CALL
666660884,666661972,35886340476917,TW-CH-003,2026-01-07 15:52:00,198,CALL
666660156,666661607,35883446056033,TW-CH-006,2026-01-09 08:32:00,189,CALL
666660763,666661503,35853943109801,TW-CH-003,2026-01-06 19:46:00,23,CALL
666660852,666661141,35827441308752,TW-CH-001,2026-01-07 11:14:00,147,CALL
666660475,666661487,35860198968151,TW-CH-007,2026-01-03 10:04:00,222,CALL
