account,peer_account,amount,ts,txn_type,ref_id
ACC-V001,ACC-M001,9999,2025-01-08 14:23:00,DEBIT,REF-B001
ACC-V002,ACC-M001,9998,2025-01-08 15:48:00,DEBIT,REF-B002
ACC-V003,ACC-M002,9750,2025-01-08 17:38:00,DEBIT,REF-B003
ACC-V004,ACC-M002,9500,2025-01-09 10:33:00,DEBIT,REF-B004
ACC-V005,ACC-M003,9999,2025-01-10 09:58:00,DEBIT,REF-B005
ACC-M001,ACC-A001,18900,2025-01-09 06:00:00,DEBIT,REF-B006
ACC-M002,ACC-A001,17500,2025-01-09 08:00:00,DEBIT,REF-B007
ACC-M003,ACC-A001,9100,2025-01-10 18:00:00,DEBIT,REF-B008
ACC-A001,ACC-CASH,45000,2025-01-11 10:00:00,DEBIT,REF-B009
ACC-M001,ACC-A001,200,2025-01-09 06:30:00,CREDIT,REF-B010
ACC-V001,ACC-M001,9500,2025-01-08 14:50:00,DEBIT,REF-B011
ACC-V003,ACC-M002,9200,2025-01-08 18:00:00,DEBIT,REF-B012
