msisdn,src_ip,dst_ip,ts_start,ts_end,bytes_up,bytes_down
9800000001,192.168.10.5,45.133.200.88,2025-01-08 13:50:00,2025-01-08 13:58:00,1200,3400
9800000001,192.168.10.5,45.133.200.88,2025-01-08 15:15:00,2025-01-08 15:23:00,980,2800
9800000001,192.168.10.5,45.133.200.88,2025-01-08 17:05:00,2025-01-08 17:13:00,1050,3100
9800000002,192.168.10.6,45.133.200.88,2025-01-09 09:58:00,2025-01-09 10:09:00,1100,2900
9800000002,192.168.10.6,45.133.200.88,2025-01-09 13:55:00,2025-01-09 14:05:00,1300,3600
9800000003,192.168.10.7,45.133.200.88,2025-01-10 09:25:00,2025-01-10 09:33:00,890,2500
9900000001,192.168.10.8,8.8.8.8,2025-01-07 11:00:00,2025-01-07 11:10:00,500,1200
9900000002,192.168.10.9,8.8.8.8,2025-01-08 09:00:00,2025-01-08 09:08:00,450,1100
9900000003,192.168.10.10,8.8.8.8,2025-01-09 08:00:00,2025-01-09 08:07:00,420,980
9700000001,192.168.11.1,142.250.10.1,2025-01-08 10:00:00,2025-01-08 10:15:00,2000,8000
9700000002,192.168.11.2,142.250.10.1,2025-01-08 11:00:00,2025-01-08 11:12:00,1800,7500
9700000003,192.168.11.3,172.217.10.1,2025-01-08 12:00:00,2025-01-08 12:10:00,1600,6800
9700000004,192.168.11.4,172.217.10.1,2025-01-09 08:30:00,2025-01-09 08:42:00,1500,6200
9700000005,192.168.11.5,172.217.10.1,2025-01-10 08:00:00,2025-01-10 08:11:00,1400,5900
