msisdn,src_ip,dst_ip,ts_start,ts_end,bytes_up,bytes_down
9811000001,10.0.10.11,78.46.200.55,2025-02-03 10:07:00,2025-02-03 10:14:00,1100,3200
9811000001,10.0.10.11,78.46.200.55,2025-02-03 12:25:00,2025-02-03 12:32:00,990,2900
9811000001,10.0.10.11,78.46.200.55,2025-02-04 09:40:00,2025-02-04 09:48:00,1050,3000
9811000002,10.0.10.12,78.46.200.55,2025-02-04 13:54:00,2025-02-04 14:02:00,1200,3400
9811000002,10.0.10.12,78.46.200.55,2025-02-05 11:14:00,2025-02-05 11:22:00,880,2600
9811000003,10.0.10.13,78.46.200.55,2025-02-06 08:49:00,2025-02-06 08:57:00,920,2700
9811000003,10.0.10.13,78.46.200.55,2025-02-06 15:53:00,2025-02-06 16:01:00,1010,2950
9811000003,10.0.10.13,78.46.200.55,2025-02-07 12:54:00,2025-02-07 13:02:00,870,2550
9933000001,10.0.10.21,8.8.8.8,2025-02-01 09:00:00,2025-02-01 09:09:00,480,1150
9933000002,10.0.10.22,8.8.8.8,2025-02-02 10:00:00,2025-02-02 10:07:00,440,1050
9933000003,10.0.10.23,8.8.8.8,2025-02-03 08:30:00,2025-02-03 08:37:00,410,960
9722000001,10.0.11.1,142.250.20.1,2025-02-03 08:00:00,2025-02-03 08:14:00,1900,7800
9722000002,10.0.11.2,142.250.20.1,2025-02-03 09:00:00,2025-02-03 09:11:00,1750,7200
9722000003,10.0.11.3,172.217.20.1,2025-02-04 07:30:00,2025-02-04 07:41:00,1600,6600
9722000004,10.0.11.4,172.217.20.1,2025-02-04 13:00:00,2025-02-04 13:10:00,1450,6100
9722000005,10.0.11.5,172.217.20.1,2025-02-05 10:00:00,2025-02-05 10:09:00,1350,5700
