account,peer_account,amount,ts,txn_type,ref_id
ACC-LV001,ACC-LM001,9850,2025-02-03 10:40:00,DEBIT,REF-L001
ACC-LV002,ACC-LM001,9600,2025-02-03 12:58:00,DEBIT,REF-L002
ACC-LV003,ACC-LM002,9900,2025-02-04 10:12:00,DEBIT,REF-L003
ACC-LV004,ACC-LM002,9750,2025-02-04 14:27:00,DEBIT,REF-L004
ACC-LV005,ACC-LM003,9500,2025-02-05 11:47:00,DEBIT,REF-L005
ACC-LV001,ACC-LM003,9999,2025-02-06 09:22:00,DEBIT,REF-L006
ACC-LV003,ACC-LM001,9800,2025-02-06 16:28:00,DEBIT,REF-L007
ACC-LV005,ACC-LM002,9650,2025-02-07 13:27:00,DEBIT,REF-L008
ACC-LM001,ACC-LA001,28100,2025-02-04 06:00:00,DEBIT,REF-L009
ACC-LM002,ACC-LA001,26800,2025-02-05 07:00:00,DEBIT,REF-L010
ACC-LM003,ACC-LA001,18200,2025-02-06 08:00:00,DEBIT,REF-L011
ACC-LA001,ACC-LCASH,70000,2025-02-08 11:00:00,DEBIT,REF-L012
ACC-LM001,ACC-LA001,500,2025-02-04 06:30:00,CREDIT,REF-L013
ACC-LV002,ACC-LM001,9100,2025-02-07 16:00:00,DEBIT,REF-L014
ACC-LV004,ACC-LM003,9200,2025-02-07 15:22:00,DEBIT,REF-L015
