account,peer_account,amount,ts,txn_type,ref_id
ACC-V003,ACC-M002,9750.00,2025-01-08T11:27:00,DEBIT,TXN-001
ACC-V004,ACC-M002,9500.00,2025-01-09T14:28:00,DEBIT,TXN-002
ACC-V005,ACC-M003,9999.00,2025-01-09T14:56:00,DEBIT,TXN-003
ACC-V001,ACC-M001,9999.00,2025-01-10T10:26:00,DEBIT,TXN-004
ACC-V002,ACC-M001,9998.00,2025-01-10T11:29:00,DEBIT,TXN-005
ACC-M002,ACC-V003,9750.00,2025-01-08T11:27:00,CREDIT,TXN-001
ACC-M002,ACC-V004,9500.00,2025-01-09T14:28:00,CREDIT,TXN-002
ACC-M003,ACC-V005,9999.00,2025-01-09T14:56:00,CREDIT,TXN-003
ACC-M001,ACC-V001,9999.00,2025-01-10T10:26:00,CREDIT,TXN-004
ACC-M001,ACC-V002,9998.00,2025-01-10T11:29:00,CREDIT,TXN-005
ACC-M002,ACC-A001,17325.00,2025-01-10T04:00:00,DEBIT,TXN-006
ACC-M003,ACC-A001,9099.00,2025-01-10T05:00:00,DEBIT,TXN-007
ACC-M001,ACC-A001,18000.00,2025-01-10T23:00:00,DEBIT,TXN-008
ACC-A001,ACC-M002,17325.00,2025-01-10T04:00:00,CREDIT,TXN-006
ACC-A001,ACC-M003,9099.00,2025-01-10T05:00:00,CREDIT,TXN-007
ACC-A001,ACC-M001,18000.00,2025-01-10T23:00:00,CREDIT,TXN-008
