msisdn,src_ip,dst_ip,ts_start,ts_end,bytes_up,bytes_down
9800000001,10.0.1.100,45.133.200.88,2025-01-08T10:50:00,2025-01-08T11:10:00,512000,256000
9800000002,10.0.1.100,45.133.200.88,2025-01-09T13:50:00,2025-01-09T14:05:00,480000,240000
9800000002,10.0.1.100,45.133.200.88,2025-01-09T14:20:00,2025-01-09T14:45:00,495000,248000
9800000003,10.0.1.100,45.133.200.88,2025-01-10T09:50:00,2025-01-10T10:15:00,510000,255000
9800000003,10.0.1.100,45.133.200.88,2025-01-10T10:50:00,2025-01-10T11:15:00,520000,260000
9700000001,10.0.2.50,142.250.190.46,2025-01-08T09:00:00,2025-01-08T09:30:00,200000,1500000
9700000002,10.0.2.51,142.250.190.46,2025-01-09T12:00:00,2025-01-09T12:30:00,180000,1400000
9900000001,192.168.50.10,203.0.113.50,2025-01-10T09:00:00,2025-01-10T09:30:00,100000,50000
9900000002,192.168.50.10,203.0.113.51,2025-01-10T09:15:00,2025-01-10T09:45:00,120000,60000
9900000003,192.168.50.10,203.0.113.52,2025-01-10T09:20:00,2025-01-10T09:50:00,110000,55000
